Tiempo,Temperatura
0.033,41.81
1.53,41.94
3.026,42.06
4.524,42.06
6.021,42.19
7.518,42.25
9.015,42.25
10.512,42.31
12.009,42.31
13.506,42.44
15.002,42.44
16.499,42.44
17.996,42.56
19.493,42.56
20.99,42.56
22.488,42.56
23.985,42.56
25.482,42.63
26.979,42.63
28.476,42.63
29.973,42.63
31.47,42.63
32.967,42.63
34.464,42.63
35.961,42.69
37.458,42.63
38.956,42.69
40.453,42.63
41.95,42.69
43.447,42.69
44.944,42.69
46.441,42.69
47.938,42.69
49.435,42.69
50.933,42.75
52.43,42.69
53.927,42.69
55.424,42.69
56.921,42.69
58.418,42.69
59.915,42.69
61.412,42.69
62.909,42.69
64.407,42.69
65.904,42.69
67.4,42.69
68.897,42.69
70.394,42.69
71.891,42.63
73.389,42.69
74.886,42.69
76.383,42.69
77.88,42.69
79.377,42.63
80.874,42.69
82.372,42.63
83.869,42.63
85.366,42.69
86.863,42.63
88.36,42.63
89.858,42.69
91.354,42.69
92.851,42.63
94.348,42.63
95.845,42.63
97.342,42.63
98.839,42.63
100.336,42.63
101.833,42.63
103.33,42.63
104.827,42.63
106.324,42.63
107.822,42.63
109.319,42.56
110.817,42.63
112.314,42.63
113.811,42.56
115.308,42.56
116.805,42.5
118.302,42.56
119.799,42.5
121.296,42.5
122.793,42.5
124.291,42.5
125.788,42.5
127.285,42.5
128.782,42.44
130.279,42.44
131.776,42.5
133.273,42.5
134.77,42.5
136.267,42.5
137.764,42.5
139.261,42.44
140.759,42.5
142.256,42.44
143.753,42.56
145.25,42.56
146.747,42.5
148.244,42.5
149.741,42.5
151.238,42.5
152.735,42.44
154.232,42.44
155.729,42.44
157.225,42.44
158.723,42.44
160.22,42.5
161.717,42.44
163.214,42.44
164.711,42.44
166.208,42.44
167.705,42.44
169.202,42.44
170.699,42.5
172.196,42.44
173.693,42.38
175.191,42.44
176.688,42.44
178.185,42.44
179.682,42.44
181.179,42.44
182.676,42.44
184.173,42.44
185.67,42.38
187.167,42.38
188.664,42.38
190.161,42.38
191.659,42.38
193.156,42.31
194.653,41.94
196.149,42.44
197.646,45.81
199.144,49.25
200.643,52.19
202.143,54.56
203.643,56.44
205.144,58.0
206.646,59.31
208.147,60.31
209.649,61.31
211.151,62.06
212.655,62.69
214.157,63.19
215.66,63.69
